Postcode,1 pallet,2 pallets,3 pallets,4 pallets,5 pallets,6 pallets,7 pallets,8 pallets,9 pallets,10 pallets,11 pallets,12 pallets,13 pallets,14 pallets,15 pallets,16 pallets,17 pallets,18 pallets,19 pallets,20 pallets,21 pallets,22 pallets,23 pallets,24 pallets,25 pallets,26 pallets
DN,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00
WF,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00
YO10,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00
YO14,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00
YO15,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00
YO16,51.67,101.33,154.00,203.16,250.83,296.99,341.66,386.32,430.99,482.65,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00
HU,46.20,87.54,116.73,136.18,158.07,189.68,221.29,252.91,284.52,316.13,347.75,379.36,410.97,442.59,474.20,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00,495.00
DE,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
BD,54.90,105.97,148.10,190.80,235.38,278.45,320.03,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
HD,54.90,105.97,148.10,187.67,227.82,273.14,318.46,363.77,409.09,454.41,499.72,545.04,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00
